HH_ID,FOOD_PRE,FOOD_VFM,FOOD_ECO,CLEANO_PRE,CLEANO_VFM,CLEANO_ECO,PC_PRE,PC_VFM,PC_ECO,FOOD_TOT,CLEANO_TOT,PC_TOT,TOTAL
70,4008558.705,4232346.833,2059860.904,762334.03,1614722.51,369516.2,393761.27,502834.53,598240.87,10300766.44,2746572.74,1494836.67,14542175.85
71,824209.7107,1101905.199,376448.2142,27513.7,70496.53,16524.14,96533.17,178734.56,63741.3,2302563.124,114534.37,339009.03,2756106.524
72,249797.81,973609.654,544835.5699,15387.7,25512,87302.56,33402.25,108302.21,10253.65,1768243.034,128202.26,151958.11,2048403.404
73,3186366.01,3455487.063,1275286.721,84672,178328.61,99738.95,216006.2575,175203.73,192258.09,7917139.794,362739.56,583468.0775,8863347.431
74,2901223.491,4373300.945,1871401.6,70677,149927.25,215524.36,160614.95,338819.57,159932.55,9145926.036,436128.61,659367.07,10241421.72
75,4907976.037,4236674.767,589144.568,249080.48,366136.73,50659.28,350116.28,892072.86,272868.315,9733795.372,665876.49,1515057.455,11914729.32
76,8129475.969,8344618.502,1882260.327,86935.4,382292.62,8808.7,318232.22,1153300.23,274516.65,18356354.8,478036.72,1746049.1,20580440.62
77,3336802.28,3133577.015,902181.655,102573,78718.55,22200.135,60426.28,65160.18,38504,7372560.95,203491.685,164090.46,7740143.095
78,1980653.525,2623562.395,647307.6005,570402.12,681158.57,63662.25,112225.42,308381.99,181930.34,5251523.521,1315222.94,602537.75,7169284.211
79,2919302.974,6008692.264,478088.4356,276021.4,169619.75,67259.08,167629.96,492925.33,121572.42,9406083.673,512900.23,782127.71,10701111.61
80,5603304.234,6074772.982,871507.0258,472995.425,607975.42,155700.97,922558.45,1102084.25,340868.39,12549584.24,1236671.815,2365511.09,16151767.15
81,2199934.51,3086344.13,874456.9836,53763.03,366703.49,29453.4,284255.03,381079.6,143165.24,6160735.624,449919.92,808499.87,7419155.414
82,1507243.469,1807407.494,277894.4222,21519.2,17560.75,13706.47,17889.2,20345.75,11100.75,3592545.386,52786.42,49335.7,3694667.506
83,2049481.708,2298049.634,921714.678,194671.2,165457.86,29257.29,0,53114.99,74104.58,5269246.021,389386.35,127219.57,5785851.941
84,961280.775,1803598.503,738184.6135,89381.79,313694.5,48078,19260.5,246842.21,171521.73,3503063.891,451154.29,437624.44,4391842.621
85,992004.0776,2019878.662,673738.4319,32444.73,92670.84,88403.78,73429.71,185666.252,68597.57,3685621.171,213519.35,327693.532,4226834.053
86,279166.94,752738.5374,359203.0718,15802.5,385015.22,33039.58,36627.5,122878.76,118867.82,1391108.549,433857.3,278374.08,2103339.929
87,4026158.61,5020121.817,2156557.589,107275.43,426735.04,134835.35,928305.54,572692.84,110617.48,11202838.02,668845.82,1611615.86,13483299.7
88,720265.7585,2461596.857,1392264.199,24313.7,334340.27,116476.94,58883.58,294111.19,231346.45,4574126.814,475130.91,584341.22,5633598.944
89,4059210.39,10119241.71,3490512.152,323441.05,820209.64,473384.92,454667.92,1420496.87,195593.59,17668964.25,1617035.61,2070758.38,21356758.24
90,2292279.16,3816499.872,531947.1776,193868.02,1328661.49,180204.6,238923.52,301293.8,91946.45,6640726.21,1702734.11,632163.77,8975624.09
91,785252.23,1956733.944,1333407.42,37152.14,16419.5,19341.75,0,287076.77,129134.49,4075393.594,72913.39,416211.26,4564518.244
92,1474529.037,3718246.322,1796428.139,0,160211.69,107664.76,71392.5,246339.99,168365.61,6989203.497,267876.45,486098.1,7743178.047
93,2480533.724,7974973.113,2559680.544,87395.1,466836.98,170033.14,179942.28,683084.02,577177.6,13015187.38,724265.22,1440203.9,15179656.5
94,6803687.499,8222440.643,1175648.535,288008.99,676136.43,127396.61,1374380.94,480388.14,201714.01,16201776.68,1091542.03,2056483.09,19349801.8
95,2702394.315,2537064.217,614167.8901,439959.79,421132.65,64027.21,877171.36,470973.84,114405.535,5853626.422,925119.65,1462550.735,8241296.807
96,1860294.465,5847163.027,2516346.958,177725.91,716232.05,218779.8556,9208.6,980020.52,405928.2359,10223804.45,1112737.816,1395157.356,12731699.62
97,8045593.599,7135715.489,1618925.652,313829.155,481993.89,135404.5,364253.43,384193.94,272858.02,16800234.74,931227.545,1021305.39,18752767.68
98,312123.6592,615814.684,178697.2955,5608.65,24667.3,1573.65,0,13436.55,22722.1,1106635.639,31849.6,36158.65,1174643.889
99,1362515.686,1303993.031,340499.3552,25450.15,99803.95,2281.5,139602.62,79966.18,17219.5,3007008.072,127535.6,236788.3,3371331.972
100,5455741.482,12668321.55,5868974.799,228295.1,972425.8,601948.62,105201,1597172.75,877827.05,23993037.83,1802669.52,2580200.8,28375908.15
101,3522248.823,2633745.896,804747.7453,26445.45,168990.75,87024.9,78742.3,126393.679,149896.55,6960742.464,282461.1,355032.529,7598236.093
102,2674243.223,3829226.798,1012787.547,71899.9,171111.94,42992.82,175095.64,147554.56,47688.81,7516257.568,286004.66,370339.01,8172601.238
103,2821613.66,1895157.775,278577.8158,131131.63,102352.95,15240.55,158702.27,191642.72,44623.72,4995349.25,248725.13,394968.71,5639043.09
104,853981.5894,821281.8687,153734.0762,45031.75,83090.74,2600.5,66499.345,154497.81,53483.76,1828997.534,130722.99,274480.915,2234201.439
105,1892405.117,4998279.24,939330.4479,40121.33,293181.86,238864.67,86151.23,238203.86,73390.4,7830014.805,572167.86,397745.49,8799928.155
106,1891991.162,2352202.053,474890.3479,163958.67,202888.48,29845.92,231785.6,168481.69,10741.86,4719083.561,396693.07,411009.15,5526785.781
